player_name,player_id,year,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,sprint_speed,oaa
Chas McCormick,676801,2022,67,31,66,75,60,54,78,58,63,34,86,10,84,88
Joey Gallo,608336,2022,29,1,36,83,19,63,98,38,90,1,97,1,47,12
Josh Donaldson,518626,2022,39,20,43,57,35,63,70,83,72,18,63,15,18,95
Elvis Andrus,462101,2022,9,24,6,10,25,14,10,32,16,80,50,68,16,43
Yordan Alvarez,670541,2022,100,100,100,100,100,99,98,100,100,66,98,61,32,
Jose Altuve,514888,2022,80,73,67,60,88,63,51,8,9,85,73,91,55,43
Jonathan Schoop,570731,2022,7,35,19,19,7,31,20,18,51,51,2,37,47,100
Luke Raley,670042,2022,,,,,,,,,,,,,94,
David Fletcher,664058,2022,,,,,,,,,,,,,18,
Phil Gosselin,594838,2022,,,,,,,,,,,,,77,
Miguel Andújar,609280,2022,,,,,,,,,,,,,40,
Eloy Jiménez,650391,2022,,,,,,,,,,,,,12,
Luis Torrens,620443,2022,,,,,,,,,,,,,25,
Marwin Gonzalez,503556,2022,,,,,,,,,,,,,27,92
Carson Kelly,608348,2022,,,,,,,,,,,,,14,
Teoscar Hernández,606192,2022,84,81,92,90,51,80,87,95,97,16,27,2,83,18
Pete Alonso,624413,2022,91,80,94,95,84,98,92,79,88,61,60,50,14,12
Nolan Jones,666134,2022,,,,,,,,,,,,,71,
Francisco Mejía,642336,2022,,,,,,,,,,,,,37,
Jorge Soler,624585,2022,54,20,63,77,40,63,83,87,70,8,71,13,43,18
Ronald Acuña Jr.,660670,2022,92,83,88,83,93,73,84,85,93,36,71,31,78,
Salvador Perez,521692,2022,23,8,70,87,1,61,84,89,84,13,2,2,9,
Randy Arozarena,668227,2022,23,32,33,35,25,54,41,79,65,26,28,19,87,18
Johan Camargo,622666,2022,,,,,,,,,,,,,8,77
Reese McGuire,624512,2022,,,,,,,,,,,,,21,
Joey Wendle,621563,2022,,,,,,,,,,,,,50,84
Vinnie Pasquantino,686469,2022,,,,,,,,,,,,,16,
Kyle Schwarber,656941,2022,95,26,97,99,65,100,100,95,96,6,92,21,27,6
Vladimir Guerrero Jr.,665489,2022,92,92,90,80,92,93,76,97,98,72,65,48,33,84
Josh Lowe,666139,2022,,,,,,,,,,,,,89,
Brad Miller,543543,2022,,,,,,,,,,,,,50,
Anthony Santander,623993,2022,80,62,77,75,74,82,67,61,58,69,54,69,30,3
Hunter Dozier,641531,2022,52,49,62,63,40,61,57,44,48,42,46,32,65,28
Andy Ibáñez,628451,2022,,,,,,,,,,,,,55,43
Oscar Mercado,640458,2022,,,,,,,,,,,,,79,
Jean Segura,516416,2022,,,,,,,,,,,,,63,28
Gilberto Celestino,665482,2022,,,,,,,,,,,,,66,84
Albert Almora Jr.,546991,2022,,,,,,,,,,,,,58,77
César Hernández,514917,2022,19,48,7,6,40,11,5,1,7,69,42,75,69,12
Kody Clemens,665019,2022,,,,,,,,,,,,,37,
Sam Haggerty,664059,2022,,,,,,,,,,,,,96,
Akil Baddoo,668731,2022,,,,,,,,,,,,,88,
Jeimer Candelario,600869,2022,33,23,50,63,19,57,63,18,21,39,25,50,49,12
Seth Brown,664913,2022,73,78,85,79,45,76,73,58,57,31,21,23,65,18
Isiah Kiner-Falefa,643396,2022,18,81,12,1,45,1,1,10,6,91,13,99,83,12
Jarred Kelenic,672284,2022,,,,,,,,,,,,,47,
José Azocar,640492,2022,,,,,,,,,,,,,95,
Sam Hilliard,656541,2022,,,,,,,,,,,,,87,
Jed Lowrie,476704,2022,,,,,,,,,,,,,8,
Joey Votto,458015,2022,62,13,50,71,68,69,83,66,54,21,90,17,10,2
José Abreu,547989,2022,97,97,94,83,97,87,65,93,95,85,77,60,23,84
Jazz Chisholm Jr.,665862,2022,79,42,87,92,54,76,96,78,86,15,54,12,94,84
Andrés Giménez,665926,2022,79,88,74,57,78,44,43,44,46,50,11,38,94,88
Michael Stefanic,683021,2022,,,,,,,,,,,,,19,
Austin Hays,669720,2022,49,60,52,40,48,54,38,48,59,60,19,54,62,3
Bryan De La Cruz,650559,2022,49,66,70,68,31,38,63,74,81,20,20,16,66,12
Avisaíl García,541645,2022,12,31,27,33,6,38,37,39,76,13,3,2,75,63
Luis Guillorme,641645,2022,41,70,14,6,75,3,6,10,2,91,79,99,24,88
Nolan Arenado,571448,2022,63,62,63,60,61,73,48,39,35,93,55,68,12,100
Miguel Rojas,500743,2022,26,79,19,7,47,6,4,8,2,96,17,92,32,92
Evan Longoria,446334,2022,,,,,,,,,,,,,19,43
Joey Bart,663698,2022,,,,,,,,,,,,,52,
Jason Heyward,518792,2022,,,,,,,,,,,,,45,77
Jose Trevino,624431,2022,,,,,,,,,,,,,10,
Sheldon Neuse,641914,2022,2,11,1,3,8,3,8,57,40,15,32,35,31,8
Martín Maldonado,455117,2022,2,1,7,43,1,31,56,79,74,5,28,11,1,
Ha-Seong Kim,673490,2022,47,45,31,28,65,31,28,4,8,67,71,75,76,95
Eric Hosmer,543333,2022,38,65,28,19,59,31,22,34,43,85,57,85,18,28
Kyle Tucker,663656,2022,92,78,92,91,86,87,73,50,35,81,87,71,35,77
Charlie Blackmon,453568,2022,56,81,61,40,56,48,29,8,12,72,22,71,70,
Jake Cronenworth,630105,2022,31,11,15,30,56,40,27,19,21,56,77,88,82,88
C.J. Abrams,682928,2022,,,,,,,,,,,,,92,18
Christian Arroyo,624414,2022,,,,,,,,,,,,,73,
Garrett Hampson,641658,2022,,,,,,,,,,,,,96,28
Luis Rengifo,650859,2022,27,60,31,22,29,11,14,24,23,78,11,59,73,2
Diego Castillo,660636,2022,17,11,38,62,4,48,71,55,46,16,11,38,51,28
Jorge Polanco,593871,2022,90,55,87,87,92,80,82,46,45,48,98,45,79,8
Jake Lamb,571875,2022,,,,,,,,,,,,,27,
Joc Pederson,592626,2022,95,81,96,97,80,88,96,98,97,46,58,58,17,8
Bobby Witt Jr.,677951,2022,47,55,66,68,27,73,57,83,60,42,13,39,100,6
Daulton Varsho,662139,2022,53,27,65,75,35,76,69,36,38,37,50,59,63,95
Starling Marte,516782,2022,64,84,63,44,56,48,37,15,23,56,8,47,80,12
Richie Palacios,680700,2022,,,,,,,,,,,,,55,
Matt Vierling,663837,2022,,,,,,,,,,,,,98,63
P.J. Higgins,664731,2022,,,,,,,,,,,,,31,
Jose Miranda,669304,2022,33,38,57,63,13,20,33,64,71,63,4,66,29,43
Mark Canha,592192,2022,41,38,11,10,74,11,10,29,34,65,67,65,57,28
Brandon Drury,592273,2022,49,42,65,72,33,86,76,50,65,47,43,73,39,77
Michael Perez,605421,2022,,,,,,,,,,,,,4,
Kyle Garlick,664247,2022,,,,,,,,,,,,,34,
Jason Castro,488771,2022,,,,,,,,,,,,,30,
Brandon Crawford,543063,2022,8,6,7,26,17,31,43,16,8,52,47,9,11,43
Ben Gamel,592325,2022,62,65,36,25,81,17,38,52,54,20,84,45,62,18
Taylor Walls,670764,2022,4,4,2,11,12,17,27,6,12,18,66,41,86,3
Ji-Man Choi,596847,2022,72,41,59,65,80,44,66,94,85,13,96,17,7,77
Kole Calhoun,594777,2022,33,27,52,63,17,69,72,84,91,7,22,2,13,28
Jack Mayfield,608686,2022,,,,,,,,,,,,,52,
Wilmer Flores,527038,2022,44,37,38,38,54,48,36,39,27,82,58,83,9,77
Yermín Mercedes,606213,2022,,,,,,,,,,,,,19,
Guillermo Heredia,628338,2022,,,,,,,,,,,,,72,
Tommy La Stella,600303,2022,,,,,,,,,,,,,6,
Randal Grichuk,545341,2022,4,16,10,19,4,23,24,58,70,28,10,45,67,12
Tony Kemp,643393,2022,1,4,1,2,10,3,2,1,1,88,46,96,27,63
Gleyber Torres,650402,2022,53,44,76,79,29,80,69,82,75,58,35,41,41,18
Javier Báez,595879,2022,12,15,33,50,4,63,56,23,23,37,8,4,64,84
Riley Adams,656180,2022,,,,,,,,,,,,,38,
Stephen Vogt,519390,2022,,,,,,,,,,,,,14,
J.D. Davis,605204,2022,,,,,,,,,,,,,33,
Josh Harrison,543281,2022,15,23,13,17,26,14,19,22,11,78,15,55,49,93
Kolten Wong,543939,2022,31,37,18,16,57,14,16,19,29,75,58,82,22,1
Christian Walker,572233,2022,89,49,93,96,81,96,90,66,68,61,91,50,42,99
Aristides Aquino,606157,2022,,,,,,,,,,,,,91,
Darick Hall,669742,2022,,,,,,,,,,,,,26,
Buddy Kennedy,671083,2022,,,,,,,,,,,,,97,
Trevor Larnach,663616,2022,,,,,,,,,,,,,45,
Ryan O'Hearn,656811,2022,,,,,,,,,,,,,58,
Austin Slater,596103,2022,85,67,69,65,93,31,73,36,38,19,93,11,74,63
Willians Astudillo,553902,2022,,,,,,,,,,,,,5,
Jonathan Villar,542340,2022,1,7,1,2,3,2,6,64,52,19,35,5,40,1
