,player_name,xwoba,xba,xslg,xiso,xobp,brl,brl_percent,exit_velocity,hard_hit_percent,k_percent,bb_percent,whiff_percent,xera,fb_velocity,fb_spin,curve_spin,rating
0,Corbin Burnes,0.99,0.96,0.99,0.98,0.99,0.72,0.97,0.96,0.94,0.97,0.92,0.97,0.99,0.81,1,0.92,15.08
1,Jacob deGrom,1,1,0.99,0.92,1,0.76,0.67,0.74,0.65,1,0.99,0.99,1,1,0.87,0.8,14.38
2,Jonathan Loáisiga,0.99,0.93,0.99,0.99,0.99,0.96,0.97,0.99,0.99,0.56,0.86,0.64,0.99,0.99,0.74,0.74,14.32
3,Collin McHugh,0.98,0.88,0.96,0.98,0.98,0.99,0.98,0.87,0.96,0.87,0.95,0.83,0.98,0.04,0.9,0.86,14.01
4,David Bednar,0.97,0.93,0.94,0.87,0.95,0.9,0.82,0.82,0.92,0.94,0.54,0.87,0.97,0.92,0.62,0.51,13.49
5,Zack Wheeler,0.94,0.78,0.91,0.92,0.93,0.31,0.92,0.99,0.97,0.84,0.89,0.53,0.94,0.94,0.7,0.74,13.25
6,Ryan Pressly,0.97,0.89,0.88,0.81,0.99,0.81,0.71,0.18,0.34,0.94,0.92,0.84,0.97,0.8,0.97,1,13.02
7,Clay Holmes,0.91,0.89,0.95,0.96,0.77,0.92,0.96,0.83,0.79,0.71,0.28,0.62,0.91,0.87,0.43,0.77,12.57
8,Craig Kimbrel,0.98,0.99,0.98,0.89,0.97,0.92,0.71,0.13,0.38,0.99,0.29,1,0.98,0.9,0.64,0.65,12.4
9,Alex Reyes,0.75,0.95,0.94,0.85,0.38,0.9,0.91,0.82,0.81,0.87,0.01,0.95,0.75,0.91,0.72,0.88,12.4
10,Freddy Peralta,0.95,0.97,0.96,0.87,0.91,0.45,0.79,0.88,0.92,0.95,0.31,0.92,0.95,0.52,0.79,0.18,12.32
11,Brandon Woodruff,0.83,0.67,0.77,0.79,0.84,0.29,0.81,0.92,0.9,0.86,0.81,0.66,0.83,0.89,0.69,0.74,12.3
12,Julio Urías,0.87,0.75,0.72,0.67,0.92,0.28,0.86,0.93,0.94,0.67,0.94,0.35,0.87,0.66,0.94,0.93,12.3
13,Tyler Matzek,0.89,0.92,0.96,0.96,0.51,0.97,0.97,0.29,0.58,0.84,0.04,0.76,0.89,0.87,0.89,0.95,12.29
14,Michael Kopech,0.93,0.95,0.86,0.62,0.94,0.61,0.3,0.6,0.72,0.97,0.47,0.88,0.93,0.96,0.98,0.55,12.27
15,Max Scherzer,0.91,0.91,0.76,0.49,0.98,0.16,0.47,0.71,0.82,0.96,0.92,0.92,0.91,0.56,0.9,0.77,12.15
16,Lucas Luetge,0.81,0.45,0.74,0.87,0.8,0.87,0.94,0.88,0.92,0.65,0.94,0.63,0.81,0.04,0.97,0.76,12.08
17,Charlie Morton,0.81,0.78,0.86,0.87,0.71,0.34,0.9,0.66,0.9,0.81,0.58,0.71,0.81,0.66,0.64,0.98,12.02
